Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cayman Islands,,,,,,,4200439458,4466438858,4586114125,4281868715,4156990760,4186223809,4291159006,4405954638,4563017881,4708336733
Cyprus,9985844486,10397897086,11420227885,14547325028,17320552500,18433411267,20072786351,23968764030,27844698989,25945391775,25732432719,27565469098,24978513427,23900872626,23156850007,19842404305
Czech Republic,61828166496,67808032980,82196001051,1.00E+11,1.20E+11,1.37E+11,1.56E+11,1.90E+11,2.37E+11,2.07E+11,2.09E+11,2.30E+11,2.09E+11,2.12E+11,2.09E+11,1.88E+11
Germany,1.94E+12,1.94E+12,2.07E+12,2.50E+12,2.81E+12,2.85E+12,2.99E+12,3.42E+12,3.73E+12,3.40E+12,3.40E+12,3.74E+12,3.53E+12,3.73E+12,3.88E+12,3.36E+12
Djibouti,551230861.9,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684,847918929.1,999105339.3,1049110685,1128611700,1239144502,1353632942,2042817163,2214681574,2430287967
Dominica,333470370.4,340203703.7,333196296.3,343311111.1,367200000,364255555.6,390251851.9,421374074.1,458188888.9,489074074.1,493825925.9,501025925.9,485996296.3,498296296.3,520207407.4,540737037
Denmark,1.64E+11,1.65E+11,1.79E+11,2.18E+11,2.51E+11,2.64E+11,2.83E+11,3.19E+11,3.53E+11,3.21E+11,3.22E+11,3.44E+11,3.27E+11,3.44E+11,3.53E+11,3.03E+11
Dominican Republic,24305717542,25601765401,27137508657,21403167848,22322395368,35777570136,37879869898,43965420072,48122547177,48261033298,53860175556,58029750746,60681537196,62682163837,67179914027,71164825257
Algeria,54790379459,54744725766,56760318215,67863841333,85332581189,1.03E+11,1.17E+11,1.35E+11,1.71E+11,1.37E+11,1.61E+11,2.00E+11,2.09E+11,2.10E+11,2.14E+11,1.66E+11
East Asia & Pacific (excluding high income),1.73E+12,1.85E+12,2.05E+12,2.31E+12,2.68E+12,3.11E+12,3.75E+12,4.74E+12,5.99E+12,6.50E+12,7.88E+12,9.61E+12,1.07E+13,1.18E+13,1.28E+13,1.33E+13
Early-demographic dividend,3.31E+12,3.27E+12,3.18E+12,3.54E+12,4.11E+12,4.79E+12,5.48E+12,6.51E+12,7.33E+12,7.06E+12,8.58E+12,9.61E+12,1.01E+13,1.03E+13,1.06E+13,1.03E+13
East Asia & Pacific,8.29E+12,7.72E+12,7.85E+12,8.63E+12,9.68E+12,1.03E+13,1.10E+13,1.23E+13,1.41E+13,1.46E+13,1.70E+13,1.97E+13,2.11E+13,2.13E+13,2.20E+13,2.19E+13
Europe & Central Asia (excluding high income),7.00E+11,6.96E+11,7.96E+11,1.00E+12,1.33E+12,1.69E+12,2.07E+12,2.68E+12,3.32E+12,2.61E+12,3.11E+12,3.84E+12,4.07E+12,4.33E+12,4.04E+12,3.09E+12
Europe & Central Asia,1.00E+13,1.02E+13,1.11E+13,1.35E+13,1.57E+13,1.68E+13,1.82E+13,2.12E+13,2.33E+13,2.05E+13,2.10E+13,2.33E+13,2.24E+13,2.34E+13,2.38E+13,2.05E+13
Ecuador,18327764882,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.02E+11,99290381000
"Egypt, Arab Rep.",99838543960,96684636119,85146067416,80288461538,78782467532,89600665557,1.07E+11,1.30E+11,1.63E+11,1.89E+11,2.19E+11,2.36E+11,2.79E+11,2.88E+11,3.06E+11,3.29E+11
Euro area,6.48E+12,6.59E+12,7.17E+12,8.84E+12,1.01E+13,1.05E+13,1.12E+13,1.29E+13,1.41E+13,1.29E+13,1.26E+13,1.36E+13,1.26E+13,1.32E+13,1.35E+13,1.17E+13
Eritrea,706370815.6,752368495.5,729321366.7,870247703.2,1109054005,1098425901,1211161880,1317974491,1380188800,1856695551,1589515447,2065001626,,,,
Spain,5.97E+11,6.27E+11,7.05E+11,9.05E+11,1.07E+12,1.15E+12,1.26E+12,1.47E+12,1.63E+12,1.49E+12,1.42E+12,1.48E+12,1.32E+12,1.35E+12,1.37E+12,1.20E+12
Estonia,5694069842,6259257900,7372457380,9877636631,12144397516,14098326079,17012322168,22445583082,24371299253,19744110864,19685038567,23394844085,23192708982,25271406708,26773473625,23048864243
Ethiopia,8242392104,8231326016,7850809498,8623691300,10131187261,12401139454,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648211133,55612228234,64589334979
European Union,7.26E+12,7.39E+12,8.05E+12,9.91E+12,1.14E+13,1.19E+13,1.27E+13,1.47E+13,1.62E+13,1.47E+13,1.45E+13,1.57E+13,1.46E+13,1.53E+13,1.56E+13,1.35E+13
Fragile and conflict affected situations,4.39E+11,4.25E+11,4.11E+11,4.23E+11,5.35E+11,6.73E+11,8.43E+11,1.04E+12,1.34E+12,1.28E+12,1.52E+12,1.54E+12,1.78E+12,1.87E+12,2.03E+12,1.80E+12
Finland,1.26E+11,1.29E+11,1.40E+11,1.71E+11,1.97E+11,2.05E+11,2.17E+11,2.56E+11,2.85E+11,2.52E+11,2.49E+11,2.75E+11,2.58E+11,2.71E+11,2.74E+11,2.34E+11
Fiji,1678239218,1652464201,1833279985,2300453634,2708078477,2980484920,3076305453,3378314600,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4856963230,4682546863
France,1.36E+12,1.38E+12,1.49E+12,1.84E+12,2.12E+12,2.20E+12,2.32E+12,2.66E+12,2.92E+12,2.69E+12,2.64E+12,2.86E+12,2.68E+12,2.81E+12,2.85E+12,2.44E+12
Faroe Islands,1058702725,1147654635,1262669892,1494011567,1688237552,1727792693,1984445416,2290133549,2432415998,2268387771,2320424601,2490807831,2366301252,2627049837,2850743875,2518096286
"Micronesia, Fed. Sts.",233271800,240970900,242517200,245432900,240236000,250281900,253541900,256787200,263145100,280284600,296944100,311301600,327248700,317214400,319271200,316489900
Gabon,5080483464,5023265365,5335451308,6511903657,7770219480,9582783318,10327598801,12455410056,15571349776,12113699661,14372591916,18210308748,17170465294,17595745653,18203968002,14383107714
United Kingdom,1.66E+12,1.64E+12,1.78E+12,2.05E+12,2.41E+12,2.53E+12,2.71E+12,3.09E+12,2.92E+12,2.41E+12,2.48E+12,2.66E+12,2.70E+12,2.78E+12,3.07E+12,2.93E+12
Georgia,3057475335,3219488664,3395728014,3991284895,5125365192,6410823633,7745394293,10172882371,12795076469,10766836277,12243505583,15107441447,16488403076,17189551521,17627003455,14953950557
Ghana,4983024408,5314909954,6166330136,7632406553,8881368538,10744675210,20440893017,24827844950,28678701891,26048108185,32197272797,39337314810,41270954737,62823043699,51717482624,47498906692
Gibraltar,,,,,,,,,,,,,,,,
